spec,outcome,n_risk,n_events,HR_ctv,CI_lo_ctv,CI_hi_ctv,p_ctv,HR_phf,CI_lo_phf,CI_hi_phf,p_phf,HR_robust,CI_lo_robust,CI_hi_robust,p_robust
fullcov_anyAbnormal,ecg_abnormal,48687,12912,1.0662,1.0217,1.1125,0.0031864846567574677,1.0662,1.0217,1.1125,0.003186489440952196,1.0662,1.0166,1.1181,0.008291832449360315
fullcov_STT,ecg_stt,66398,6846,1.1554,1.0897,1.2251,1.3337522506127227e-06,1.1554,1.0897,1.2251,1.3337613849469849e-06,1.1554,1.0771,1.2394,5.4879795235649e-05
fullcov_AF,ecg_af,73320,299,0.9407,0.7019,1.2607,0.6823183729559184,0.9407,0.7019,1.2607,0.6823181107300996,0.9407,0.5593,1.5821,0.8176923454297853
fullcov_anyBlock,ecg_anyBlock,69096,2581,0.9333,0.8469,1.0285,0.1634099960044742,0.9333,0.8469,1.0285,0.16341031071003403,0.9333,0.8192,1.0632,0.2989672893624872
