outcome,HR_observed,kappa_measured,Se_eq_Sp,HR_corrected,attenuation_pct
HR_obs_v3_anyAbnormal,1.1196,0.9929,0.9968,1.1206,0.1
HR_obs_fullcov_STT,1.0817,0.9929,0.9968,1.0823,0.1
