arm,HR_noFE,HR_noFE_lo,HR_noFE_hi,n_risk_noFE,events_noFE,HR_yearFE,HR_yearFE_lo,HR_yearFE_hi,n_risk_yearFE,events_yearFE,R
A_truth,1.0751,1.0751,1.0751,40682.0,13160.0,0.9591,0.9591,0.9591,40682.0,13160.0,1
B_yearvarying,1.0218,0.9949,1.0438,49239.0,14358.0,0.957,0.9307,0.9758,49239.0,14358.0,30
C1_fixed,1.0475,1.0214,1.072,49431.0,13967.0,0.9577,0.9355,0.9818,49431.0,13967.0,30
C2_permuted,1.078,1.0645,1.0965,47393.0,14534.0,0.9692,0.9557,0.9909,47393.0,14534.0,10
C3_symmetric,1.079,1.0597,1.0923,41644.0,14360.0,0.9631,0.9473,0.9777,41644.0,14360.0,10
REAL_v1,1.0296,,,,,0.9663,,,,,1
REAL_v3,1.0751,,,,,0.9591,,,,,1
