year,agreement_pct,kappa_v1v3,posrate_v1,posrate_v3,median_len,inline_enum_pct,domain_mix_pct,ecg_prefix_pct,ngram_drift
2018,94.16,0.881,39.64,45.46,10.0,3.63399052002473,0.0,0.21982551349866045,0.10148957760018373
2019,96.87,0.934,37.19,40.32,5.0,0.23695242724345342,0.0,0.03037851631326326,0.05238509127642077
2020,98.12,0.96,37.14,39.01,5.0,0.43354391180478136,0.0,0.0,0.04656410553402612
2021,97.78,0.952,35.41,37.63,5.0,0.3899009268136785,0.0,0.15340364333652923,0.05083884309750897
2022,94.16,0.883,42.96,48.8,11.0,22.25546605293441,0.02301495972382048,7.686996547756042,0.40700427073487466
2023,84.46,0.693,36.94,52.1,5.0,0.2169798254928212,0.03231614422233507,0.004616592031762153,0.06873344509233681
2024,85.42,0.714,41.03,55.37,10.0,0.7188691079268587,0.0,0.04342162396873643,0.10367030681390244
