variable,n,raw_agreement,cohen_kappa,gwet_ac1,prec_0,rec_0,F1_0,prec_1,rec_1,F1_1
us_fatty,300,0.95,0.9,0.9,0.909,1.0,0.952,1.0,0.9,0.947
us_hepatic_other,300,0.99,0.959,0.987,1.0,0.988,0.994,0.932,1.0,0.965
us_gallstone,300,0.993,0.977,0.991,0.992,1.0,0.996,1.0,0.963,0.981
us_kidney_cyst,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
us_unreadable,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
main_discrepant,300,1.0,1.0,1.0,1.0,1.0,1.0,,,
