spec,n_risk,n_events,HR,CI_lo,CI_hi,p,penalizer
harm_v1+FE,56241,12905,0.9735,0.9239,1.0257,0.3131370488442572,0.001
harm_v1+FE,56241,12905,0.9735,0.9272,1.022,0.2788399864414474,0.01
harm_v1+FE,56241,12905,0.9781,0.9496,1.0076,0.14366413618283322,0.1
harm_v3+FE,42666,16243,0.98,0.9357,1.0265,0.39396994810950536,0.001
harm_v3+FE,42666,16243,0.9797,0.9371,1.0242,0.36495818420247006,0.01
harm_v3+FE,42666,16243,0.9941,0.9625,1.0266,0.7176687780528617,0.1
fullcov_STT+FE,74107,6603,1.0804,0.9971,1.1706,0.058747041051258345,0.001
fullcov_STT+FE,74107,6603,1.0603,0.9918,1.1336,0.08582350014225684,0.01
fullcov_STT+FE,74107,6603,1.0261,0.9998,1.0531,0.05175582460067432,0.1
